Fecha,GravedadNombre,ClaseNombre,ChoqueNombre,ObjetoFijoCodigo,ObjetoFijoNombre,OtraClase,NombreOtraClase,Latitud,Longitud,Direccion,TipoVia1,NumeroVia1,LetraVia1,CardinalVia1,TipoVia2,NumeroVia2,LetraVia2,CardinalVia2,Localidad,HoraOcurrencia,TipoDiseño,TipoTiempo,TotalMuertos,TotalHeridos
02-11-16 0:00,Con Heridos,Choque,Vehiculo, , , , ,0,0,CL 61-KR 18 02,CL,61, , ,KR,18, , ,TEUSAQUILLO,12/31/1899 01:30:00 PM,Interseccion,Normal,0,1
02/17/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,KR 13-CL 27 94,KR,13, , ,CL,27, , ,SANTA FE,12/31/1899 12:20:00 PM,Tramo de Via,Normal,0,0
02/17/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,CL 80-KR 118 02,CL,80, , ,KR,118, , ,ENGATIVA,12/31/1899 07:00:00 AM,Tramo de Via,Normal,0,0
02/17/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,CL 26-KR 48 02,CL,26, , ,KR,48, , ,TEUSAQUILLO,12/31/1899 10:15:00 AM,Tramo de Via,Normal,0,0
02/18/2016 12:00:00 AM,Con Heridos,Atropello, , , , , ,0,0,KR 33-CL 52F S 20,KR,33, , ,CL,52,F,S,TUNJUELITO,12/31/1899 12:00:00 AM,Tramo de Via,Normal,0,1
02/18/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,KR 105-CL 70 02,KR,105, , ,CL,70, , ,ENGATIVA,12/31/1899 04:30:00 AM,Interseccion,Normal,0,0
02/19/2016 12:00:00 AM,Con Heridos,Atropello, , , , , ,0,0,DG 51BIS-KR 32 S 95,DG,51, ,S,KR,32, , ,TUNJUELITO,12/31/1899 10:20:00 PM,Tramo de Via,Normal,0,1
02/19/2016 12:00:00 AM,Con Heridos,Choque,Vehiculo, , , , ,0,0,KR 100-CL 17A 02,KR,100, , ,CL,17,A, ,FONTIBON,12/31/1899 09:35:00 PM,Interseccion,Normal,0,1
02/13/2016 12:00:00 AM,Solo Daños,Choque,Vehiculo, , , , ,0,0,CL 11-KR 13 S 02,CL,11, ,S,KR,13, , ,ANTONIO NARIÑO,12/31/1899 08:10:00 AM,Tramo de Via,Normal,0,0
03-03-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,AV AVENIDA PRIMERO DE MAYO-KR 13 41,AV,AVENIDA PRIMERO DE MAYO, , ,KR,13, , ,ANTONIO NARIÑO,12/31/1899 07:00:00 PM,Tramo de Via,Normal,0,0
03-03-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,AC 17-KR 89 31,AC,17, , ,KR,89, , ,FONTIBON,12/31/1899 06:25:00 AM,Tramo de Via,Normal,0,0
03-03-16 0:00,Solo Daños,Choque,Vehiculo, , , , ,0,0,CL 57R-KR 71B S 02,CL,57,R,S,KR,71,B, ,BOSA,12/31/1899 05:30:00 PM,Tramo de Via,Normal,0,0
03-05-16 0:00,Con Muertos,Volcamiento, , , , , ,0,0,AV AVENIDA DE LAS AMERICAS-KR 81D 09,AV,AVENIDA DE LAS AMERICAS, , ,KR,81,D, ,KENNEDY,12/31/1899 01:17:00 AM,Tramo de Via,Normal,1,0
